CSD refcode,CIF filename
MIRDOJ,mirdoj_P1_H
MITGIF,mitgif_P1_H
MITGOL,mitgol_P1_H
MITGUR,mitgur_P1_H
MITSAK,mitsak_P1_charged_H
MIXHAF,mixhaf_P1_H
MIXZOK,mixzok_P1_charged_H
MOBBOU,mobbou_P1_H
MOGVAG,mogvag_P1_H
MOSHUA,moshua_P1_H
MOTKAI,motkai_P1_H
MOXPIZ,moxpiz_P1_charged_H
MOYDOW,moydow_P1_H
MOYREA,moyrea_P1_H
MOYRIE,moyrie_P1_H
MOYTUR,moytur_P1_charged_H
MUDLON,mudlon_P1_H
MUDTAH,mudtah_P1_H
MUNDEG,mundeg_P1_H
MUNDOQ,mundoq_P1_H
MUVROM,muvrom_P1_charged_H
MUWQEB,muwqeb_P1_charged_H
MUZHUL,muzhul_P1_charged_H
NABMUA,nabmua_P1_H
NABMUA01,nabmua01_P1_H
NAGBUU,nagbuu_P1_H
NAGKOY,nagkoy_P1_H
NAHHAI,nahhai_P1_H
NAJMIV,najmiv_P1_charged_H
NAJQUN,najqun_P1_H
NAJZII,najzii_P1_charged_H
NALYEG,nalyeg_P1_H
NARPUU,narpuu_P1_H
NAVBIX,navbix_P1_charged_H
NAVJAW01,navjaw01_P1_H
NAVPAE,navpae_P1_charged_H
NAVPEI,navpei_P1_charged_H
NAYZOE,nayzoe_P1_H
NAZZEV,nazzev_P1_H
NDAIAH,ndaiah_P1_H
NEDWEA,nedwea_P1_H
NEDWIE,nedwie_P1_H
NEKBEL,nekbel_P1_H
NERMON,nermon_P1_H
NERTAH,nertah_P1_H
NEVDUQ,nevduq_P1_H
NEVTIU03,nevtiu03_P1_H
NEZWOG,nezwog_P1_H
NIBHOW,nibhow_P1_H
NIBHUC,nibhuc_P1_H
NIBJAK,nibjak_P1_H
NIBXUT,nibxut_P1_H
NIGDIS,nigdis_P1_H
NIHGAP,nihgap_P1_H
NIHVUX,nihvux_P1_H
NIJZIP,nijzip_P1_H
NIJZOV,nijzov_P1_H
NIKDAM,nikdam_P1_H
NIMXIS,nimxis_P1_H
NINVAI,ninvai_P1_charged_H
NIRDEX,nirdex_P1_H
NISPEL,nispel_P1_charged_H
NIVNOW,nivnow_P1_H
NIVNUC,nivnuc_P1_H
NIVWIY,nivwiy_P1_H
NIWYAV,niwyav_P1_H
NIWYEZ,niwyez_P1_H
NIZNOC,niznoc_P1_H
NOFQII,nofqii_P1_H
NOLVER,nolver_P1_H
NUFBEX,nufbex_P1_charged_H
NUFBUN,nufbun_P1_H
NUHVOE,nuhvoe_P1_H
NUHVUK,nuhvuk_P1_H
NUKRET,nukret_P1_H
NULNOA,nulnoa_P1_H
NUTQAV,nutqav_P1_H
NUTQEZ,nutqez_P1_H
NUVWEH,nuvweh_P1_H
NUVWIL,nuvwil_P1_H
NUYNAY,nuynay_P1_H
NUYNEC,nuynec_P1_H
OBUBOC,obuboc_P1_H
OCUGEZ,ocugez_P1_H
OCURIO,ocurio_P1_charged_H
OCUVUH,ocuvuh_P1_H
ODEZAB,odezab_P1_H
ODIXEG,odixeg_P1_H
OGEBAF,ogebaf_P1_H
OGEBAF01,ogebaf01_P1_H
OGURAK,ogurak_P1_charged_H
OHASUM,ohasum_P1_H
OHUKIM,ohukim_P1_H
OJAXUV,ojaxuv_P1_H
OJONOQ,ojonoq_P1_H
OKABAE,okabae_P1_H
OLANAS,olanas_P1_H
OMIPEH,omipeh_P1_charged_H
OMITUB,omitub_P1_charged_H
OMUSAS,omusas_P1_H
