CSD refcode,CIF filename
FIYSAK,fiysak_P1_H
FIZPOV,fizpov_P1_H
FIZPUB,fizpub_P1_H
FIZQAI,fizqai_P1_H
FOBNAN,fobnan_P1_H
FOFDUC,fofduc_P1_H
FOFTIF,foftif_P1_H
FOFTUR,foftur_P1_H
FOMMUS,fommus_P1_H
FOMNAZ,fomnaz_P1_H
FONPUW,fonpuw_P1_H
FOPBET,fopbet_P1_H
FOPPEI,foppei_P1_H
FORHAY,forhay_P1_H
FORTIR,fortir_P1_H
FORWAL,forwal_P1_charged_H
FOTNIN,fotnin_P1_H
FOVPOX,fovpox_P1_H
FOVPUD,fovpud_P1_H
FOXNIQ,foxniq_P1_H
FUDHAP,fudhap_P1_H
FUDHET,fudhet_P1_H
FUHVUB,fuhvub_P1_H
FULQUZ,fulquz_P1_H
FUMMUY,fummuy_P1_H
FUNGAZ,fungaz_P1_H
FUSQUH,fusquh_P1_H
FUTZOK,futzok_P1_H
FUVWAX,fuvwax_P1_H
FUWFIO,fuwfio_P1_H
FUWXOL,fuwxol_P1_H
FUWYAY,fuwyay_P1_H
FUXCUZ,fuxcuz_P1_H
FUXXIH,fuxxih_P1_H
FUYCEJ,fuycej_P1_charged_H
FUYCIN,fuycin_P1_charged_H
FUZRID,fuzrid_P1_charged_H
FUZROJ,fuzroj_P1_H
GAGSUF,gagsuf_P1_H
GAGTOA,gagtoa_P1_H
GAGXAP,gagxap_P1_H
GAJTUI,gajtui_P1_H
GAJVAQ,gajvaq_P1_H
GAJVEU,gajveu_P1_charged_H
GALCAZ,galcaz_P1_H
GALHOS,galhos_P1_H
GALJAG,galjag_P1_H
GALLOW,gallow_P1_H
GAMTAQ,gamtaq_P1_H
GAMTEU,gamteu_P1_H
GAMTIY,gamtiy_P1_H
GAMXAV,gamxav_P1_H
GARSUQ,garsuq_P1_H
GARTAX,gartax_P1_H
GARTEB,garteb_P1_H
GARTIF,gartif_P1_H
GATHIW,gathiw_P1_H
GATQIE,gatqie_P1_H
GAWJEV,gawjev_P1_H
GAWKEW,gawkew_P1_H
GAWMOI,gawmoi_P1_H
GAWMOJ,gawmoj_P1_H
GAXCER,gaxcer_P1_H
GAXKOH,gaxkoh_P1_H
GAXWIN,gaxwin_P1_H
GAXWUZ,gaxwuz_P1_H
GAXXAG,gaxxag_P1_H
GAYXEM,gayxem_P1_H
GAYXIQ,gayxiq_P1_H
GAZLAW,gazlaw_P1_H
GECRAI,gecrai_P1_charged_H
GEDDEA,geddea_P1_H
GEDQIR,gedqir_P1_H
GEDREO,gedreo_P1_H
GEDRIS,gedris_P1_H
GEDROY,gedroy_P1_H
GEDRUE,gedrue_P1_H
GEDSEP,gedsep_P1_H
GEDSIT,gedsit_P1_H
GEDSOZ,gedsoz_P1_H
GEDSUF,gedsuf_P1_H
GEFZAV,gefzav_P1_H
GEGBEB,gegbeb_P1_charged_H
GEGBOL,gegbol_P1_charged_H
GEGDED,gegded_P1_H
GEGSIW,gegsiw_P1_H
GEJJEL01,gejjel01_P1_H
GELPEV,gelpev_P1_H
GELVEZ,gelvez_P1_H
GELVEZ01,gelvez01_P1_H
GELVEZ02,gelvez02_P1_H
GELVID,gelvid_P1_H
GELVID01,gelvid01_P1_H
GERBEN,gerben_P1_H
GERPUP,gerpup_P1_H
GERWEH,gerweh_P1_H
GERWIL,gerwil_P1_charged_H
GERWOR,gerwor_P1_charged_H
GERXEJ,gerxej_P1_H
GEVVUB,gevvub_P1_H
GEWCOC,gewcoc_P1_H
GEWQAA,gewqaa_P1_H
GEYLEE,geylee_P1_H
GICXAU,gicxau_P1_H
GICXEY,gicxey_P1_H
GICXIC,gicxic_P1_H
GICXOI,gicxoi_P1_H
GIDRET,gidret_P1_H
GIFFAE,giffae_P1_H
GIFFEI,giffei_P1_H
GIFKAH,gifkah_P1_H
GIHVUR,gihvur_P1_H
GILYUY,gilyuy_P1_H
GINHOD,ginhod_P1_charged_H
GINLIA,ginlia_P1_H
GINTEF,gintef_P1_H
GINTIJ,gintij_P1_H
GINTOP,gintop_P1_H
GINWUY,ginwuy_P1_H
GINYAG,ginyag_P1_H
GINYIO,ginyio_P1_H
GINYOU,ginyou_P1_H
GINYUA,ginyua_P1_H
GIPFAP,gipfap_P1_H
GIRXUC,girxuc_P1_H
GIRYAJ,giryaj_P1_H
GIRYAK,giryak_P1_H
GIRZAK,girzak_P1_H
GITPIK,gitpik_P1_H
GIVNOQ,givnoq_P1_charged_H
GIWSOX,giwsox_P1_H
GIXVOB,gixvob_P1_H
GOCLUI,goclui_P1_H
GODDIP,goddip_P1_charged_H
GODMUK,godmuk_P1_charged_H
GODPEX,godpex_P1_H
GOMQUX,gomqux_P1_H
GOMRAE,gomrae_P1_H
GOSDEZ,gosdez_P1_H
GOSDID,gosdid_P1_H
GOVHIL,govhil_P1_H
GOVJIN,govjin_P1_H
GOVKOU,govkou_P1_charged_H
GOZROE,gozroe_P1_H
GUBKUL,gubkul_P1_H
GUFHUN,gufhun_P1_charged_H
GUFYUE,gufyue_P1_charged_H
GUGJEZ,gugjez_P1_H
GUGRAE,gugrae_P1_H
GUHMIH,guhmih_P1_charged_H
GUJREK,gujrek_P1_charged_H
GUJREK01,gujrek01_P1_charged_H
GUKBUL,gukbul_P1_charged_H
GUKNIK,guknik_P1_H
GUKNOS,guknos_P1_H
GUKQUZ,gukquz_P1_H
GUKVAK,gukvak_P1_H
GUKVEO,gukveo_P1_H
GUKVIS,gukvis_P1_H
GULGEZ,gulgez_P1_H
GULVUF,gulvuf_P1_H
GULWOA,gulwoa_P1_H
GURTIX,gurtix_P1_H
GUSNEN,gusnen_P1_H
GUSNOY,gusnoy_P1_H
GUTCEF,gutcef_P1_charged_H
GUTCIJ,gutcij_P1_charged_H
GUXJUF,guxjuf_P1_H
