CSD refcode,CIF filename
ETELEX,etelex_P1_charged
ETETAB,etetab_P1_charged_H
ETIKOK,etikok_P1_charged
ETUJOU,etujou_P1_charged
ETUJUA,etujua_P1_charged
ETUWEW,etuwew_P1_charged
ETUWIA,etuwia_P1_charged
EVEGIV,evegiv_P1_charged
EVEGUH,eveguh_P1_charged_H
EWEWUZ,ewewuz_P1_charged_H
EWIMON,ewimon_P1_charged
EWULOA,ewuloa_P1_charged
EXEMUR,exemur_P1_charged
EXOJAC,exojac_P1_charged
EZAWIL,ezawil_P1_charged_H
FABFOF,fabfof_P1_charged_H
FABGOG,fabgog_P1_charged
FABGUM,fabgum_P1_charged
FAGMAE,fagmae_P1_charged
FAGMEI,fagmei_P1_charged
FAGMOS,fagmos_P1_charged
FAHFUR,fahfur_P1_charged_H
FAHQIQ,fahqiq_P1_charged
FAJYAT,fajyat_P1_charged
FAJYIB,fajyib_P1_charged
FAJZIC,fajzic_P1_charged
FAKLIO,faklio_P1_charged
FAKLOU,faklou_P1_charged
FAKMOX,fakmox_P1_charged_H
FALVOF,falvof_P1_charged_H
FALVOF01,falvof01_P1_charged_H
FALVUL02,falvul02_P1_charged_H
FARGIQ,fargiq_P1_charged
FAVFIU,favfiu_P1_charged_H
FAVKAP,favkap_P1_charged_H
FAZRAA,fazraa_P1_charged
FECXOC,fecxoc_P1_charged_H
FEDBAV,fedbav_P1_charged_H
FEGNIQ,fegniq_P1_charged_H
FENVOL,fenvol_P1_charged_H
FERGUG,fergug_P1_charged
FEVTEF,fevtef_P1_charged
FEVVIM,fevvim_P1_charged
FIDLUC,fidluc_P1_charged_H
FIFGAE,fifgae_P1_charged_H
FIFGEI,fifgei_P1_charged_H
FIJDEI,fijdei_P1_charged
FILBAG,filbag_P1_charged_H
FILGUE,filgue_P1_charged
FIMYUX,fimyux_P1_charged
FIMZAE,fimzae_P1_charged
FINFUG,finfug_P1_charged
FIPKOG,fipkog_P1_charged
FIPKUM,fipkum_P1_charged
FISQOQ,fisqoq_P1_charged
FISVEL,fisvel_P1_charged
FITHAS,fithas_P1_charged
FITJAU,fitjau_P1_charged_H
FITJEY,fitjey_P1_charged_H
FIVSAH,fivsah_P1_charged
FIVTUC,fivtuc_P1_charged
FIXLAC,fixlac_P1_charged_H
FOJBIR,fojbir_P1_charged
FOJKOG,fojkog_P1_charged
FOMWOV,fomwov_P1_charged
FORPIM,forpim_P1_charged
FORQIN,forqin_P1_charged
FORWAL,forwal_P1_charged_H
FOTQAI,fotqai_P1_charged
FOVPEN,fovpen_P1_charged
FUFQUT,fufqut_P1_charged
FUMHEC,fumhec_P1_charged
FURHOS,furhos_P1_charged
